file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,project
/content/ck/repos_java/java-design-patterns/trampoline/src/main/java/com/iluwatar/trampoline/Trampoline.java,com.iluwatar.trampoline.Trampoline$Anonymous1,anonymous,3,3,0,3,4,1,0,7,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/data-bus/src/main/java/com/iluwatar/databus/data/MessageData.java,com.iluwatar.databus.data.MessageData,class,5,11,6,5,1,2,0,0,0,0.0,,,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/null-object/src/main/java/com/iluwatar/nullobject/NullNode.java,com.iluwatar.nullobject.NullNode,class,2,6,4,2,7,1,0,0,21,0.85714287,0.0,0.0,7,1,6,1,0,0,6,0,0,0,1,1,0,1,0,0,1,0,0,22,5,0,0,0,0,0,1,1,0,1,0,0,0,0,23,17,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/single-table-inheritance/src/main/java/com/iluwatar/SingleTableInheritance.java,com.iluwatar.SingleTableInheritance,class,9,10,1,9,2,1,0,9,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,24,0,0,0,0,0,11,4,8,0,10,0,0,0,1,106,1,8,java-design-patterns
/content/ck/repos_java/java-design-patterns/hexagonal-architecture/src/test/java/com/iluwatar/hexagonal/banking/InMemoryBankTest.java,com.iluwatar.hexagonal.banking.InMemoryBankTest,class,3,3,0,3,1,1,0,5,0,0.0,,,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,9,8,1,0,1,0,0,0,0,14,0,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/circuit-breaker/src/main/java/com/iluwatar/circuitbreaker/DelayedRemoteService.java,com.iluwatar.circuitbreaker.DelayedRemoteService,class,2,6,4,2,4,1,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,2,19,1,0,0,0,2,2,5,5,4,3,1,0,0,0,48,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/map-reduce/src/test/java/com/iluwatar/ReducerTest.java,com.iluwatar.ReducerTest,class,2,2,0,2,3,1,0,11,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8,30,0,0,0,0,0,8,25,6,0,6,0,0,0,0,16,0,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/model-view-presenter/src/main/java/com/iluwatar/model/view/presenter/FileSelectorJframe.java,com.iluwatar.model.view.presenter.FileSelectorJframe,class,2,3,1,2,13,6,0,22,31,0.7922078,0.0,0.0,11,0,11,0,0,0,11,0,0,0,7,1,0,7,0,0,5,0,1,83,3,0,0,0,0,5,36,14,0,11,1,0,0,0,95,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/specification/src/test/java/com/iluwatar/specification/selector/ColorSelectorTest.java,com.iluwatar.specification.selector.ColorSelectorTest,class,3,3,0,3,1,1,0,7,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,20,0,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/version-number/src/test/java/com/iluwatar/versionnumber/BookRepositoryTest.java,com.iluwatar.versionnumber.BookRepositoryTest,class,4,4,0,4,5,1,0,11,0,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,2,0,0,2,0,0,2,0,0,43,0,0,0,1,0,4,6,10,0,10,1,0,0,0,38,0,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/thread-pool-executor/src/main/java/com/iluwatar/threadpoolexecutor/App.java,com.iluwatar.threadpoolexecutor.App,class,4,4,0,4,5,1,0,9,0,0.0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,28,0,3,0,0,0,8,7,5,2,5,2,0,0,0,104,1,7,java-design-patterns
/content/ck/repos_java/java-design-patterns/poison-pill/src/test/java/com/iluwatar/poison/pill/PoisonMessageTest.java,com.iluwatar.poison.pill.PoisonMessageTest,class,1,1,0,1,5,1,0,4,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,3,12,0,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/data-transfer-object/src/main/java/com/iluwatar/datatransfer/product/ProductDto.java,com.iluwatar.datatransfer.product.ProductDto$Price,interface,0,0,0,0,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/microservices-idempotent-consumer/src/main/java/com/iluwatar/idempotentconsumer/RequestRepository.java,com.iluwatar.idempotentconsumer.RequestRepository,interface,2,6,4,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/metadata-mapping/src/main/java/com/iluwatar/metamapping/service/UserService.java,com.iluwatar.metamapping.service.UserService,class,4,5,1,4,12,1,0,16,0,0.16666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,1,73,3,1,0,5,0,13,1,18,5,16,2,0,0,0,37,1,11,java-design-patterns
/content/ck/repos_java/java-design-patterns/double-dispatch/src/main/java/com/iluwatar/doubledispatch/Rectangle.java,com.iluwatar.doubledispatch.Rectangle,class,3,7,4,3,6,1,1,5,1,1.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,4,0,0,4,0,0,4,0,1,12,2,0,0,0,1,1,0,0,0,4,0,0,0,0,24,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/table-inheritance/src/main/java/com/iluwatar/table/inheritance/Truck.java,com.iluwatar.table.inheritance.Truck,class,2,5,3,2,5,2,0,5,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,19,1,0,0,0,0,8,2,2,2,1,1,0,0,0,45,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/service-layer/src/main/java/com/iluwatar/servicelayer/app/App.java,com.iluwatar.servicelayer.app.App,class,11,12,1,11,3,1,0,25,1,0.33333334,0.0,0.0,3,3,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,2,121,0,0,0,0,0,42,0,38,0,40,0,0,0,2,145,1,7,java-design-patterns
/content/ck/repos_java/java-design-patterns/saga/src/main/java/com/iluwatar/saga/choreography/Saga.java,com.iluwatar.saga.choreography.Saga$SagaResult,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/mute-idiom/src/main/java/com/iluwatar/mute/App.java,com.iluwatar.mute.App$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,-1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/master-worker/src/test/java/com/iluwatar/masterworker/ArrayInputTest.java,com.iluwatar.masterworker.ArrayInputTest,class,4,4,0,4,3,1,0,5,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2,0,0,0,0,20,13,0,12,2,0,0,0,26,0,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/event-based-asynchronous/src/main/java/com/iluwatar/event/asynchronous/EventManager.java,com.iluwatar.event.asynchronous.EventManager,class,8,11,3,8,22,1,0,19,0,0.7604166,0.0,0.0,12,0,10,2,0,0,10,0,0,0,8,5,4,4,0,0,7,0,1,86,5,1,3,0,6,11,9,16,12,14,1,0,0,2,148,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/abstract-factory/src/test/java/com/iluwatar/abstractfactory/AbstractFactoryTest.java,com.iluwatar.abstractfactory.AbstractFactoryTest,class,8,8,0,8,5,1,0,8,0,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,1,0,0,1,0,0,1,0,0,62,0,0,0,0,0,0,0,18,0,18,0,0,0,0,24,0,0,java-design-patterns
